GT,Estimado,Intervalo
25,26,0.05
25,26,0.1
25,25,0.15
25,26,0.2
26,27,0.25
27,29,0.3
27,28,0.35
27,28,0.4
27,29,0.45
26,27,0.5
26,27,0.55
26,28,0.6
26,28,0.65
26,28,0.7
26,29,0.75
27,28,0.8
27,28,0.85
27,30,0.9
27,30,0.95
27,27,1.0
27,27,1.05
27,27,1.1
26,27,1.15
26,26,1.2
26,27,1.25
25,26,1.3
25,25,1.35
26,25,1.4
26,28,1.45
26,28,1.5
26,28,1.55
26,26,1.6
26,27,1.65
26,26,1.7
27,26,1.75
26,25,1.8
26,24,1.85
25,24,1.9
25,24,1.95
24,25,2.0
24,26,2.05
24,25,2.1
24,25,2.15
24,25,2.2
24,27,2.25
24,28,2.3
24,27,2.35
25,27,2.4
26,27,2.45
25,27,2.5
25,26,2.55
25,26,2.6
25,27,2.65
25,29,2.7
25,26,2.75
25,24,2.8
25,25,2.85
26,25,2.9
26,25,2.95
26,24,3.0
26,24,3.05
26,26,3.1
26,27,3.15
26,24,3.2
26,24,3.25
25,23,3.3
25,26,3.35
25,26,3.4
26,26,3.45
26,27,3.5
25,27,3.55
25,25,3.6
25,25,3.65
25,26,3.7
24,26,3.75
24,25,3.8
25,27,3.85
25,26,3.9
25,27,3.95
26,27,4.0
26,26,4.05
26,24,4.1
26,25,4.15
24,22,4.2
23,23,4.25
22,23,4.3
22,23,4.35
22,23,4.4
22,22,4.45
22,22,4.5
22,22,4.55
22,22,4.6
22,22,4.65
22,22,4.7
22,23,4.75
22,21,4.8
22,22,4.85
22,23,4.9
22,22,4.95
22,22,5.0
22,22,5.05
22,21,5.1
22,22,5.15
22,20,5.2
22,21,5.25
22,22,5.3
22,24,5.35
22,22,5.4
22,22,5.45
22,23,5.5
23,25,5.55
23,24,5.6
23,24,5.65
22,24,5.7
23,25,5.75
23,26,5.8
24,25,5.85
24,24,5.9
24,25,5.95
23,24,6.01
23,24,6.06
23,24,6.11
24,23,6.16
24,23,6.21
24,25,6.26
24,25,6.31
24,25,6.36
24,24,6.41
24,25,6.46
24,24,6.51
24,25,6.56
24,23,6.61
24,24,6.66
23,24,6.71
23,25,6.76
23,24,6.81
23,25,6.86
23,23,6.91
23,25,6.96
25,24,7.01
25,25,7.06
25,24,7.11
25,24,7.16
25,26,7.21
25,27,7.26
26,26,7.31
26,26,7.36
26,24,7.41
26,25,7.46
25,24,7.51
25,24,7.56
26,23,7.61
26,23,7.66
25,23,7.71
25,24,7.76
25,24,7.81
24,24,7.86
24,24,7.91
24,25,7.96
23,24,8.01
23,25,8.06
23,25,8.11
23,25,8.16
24,26,8.21
24,27,8.26
24,23,8.31
24,23,8.36
24,25,8.41
23,26,8.46
23,26,8.51
24,25,8.56
25,26,8.61
25,26,8.66
25,24,8.71
24,24,8.76
25,24,8.81
24,24,8.86
24,23,8.91
24,23,8.96
24,24,9.01
24,25,9.06
25,25,9.11
25,25,9.16
25,25,9.21
25,24,9.26
25,23,9.31
25,23,9.36
25,23,9.41
25,22,9.46
26,22,9.51
26,22,9.56
25,23,9.61
24,23,9.66
24,24,9.71
24,23,9.76
24,22,9.81
24,23,9.86
24,23,9.91
24,22,9.96
24,23,10.01
24,25,10.06
24,24,10.11
25,24,10.16
25,22,10.21
25,23,10.26
25,22,10.31
25,23,10.36
26,24,10.41
26,23,10.46
26,22,10.51
26,22,10.56
25,24,10.61
25,24,10.66
25,24,10.71
25,23,10.76
25,25,10.81
25,25,10.86
25,25,10.91
25,24,10.96
25,24,11.01
25,25,11.06
26,24,11.11
26,24,11.16
25,23,11.21
25,23,11.26
24,23,11.31
24,23,11.36
24,24,11.41
25,24,11.46
25,24,11.51
25,25,11.56
25,25,11.61
25,24,11.66
25,25,11.71
25,25,11.76
25,27,11.81
25,25,11.86
25,26,11.91
25,25,11.96
25,26,12.01
25,26,12.06
26,27,12.11
26,27,12.16
26,28,12.21
26,27,12.26
26,26,12.31
26,26,12.36
26,27,12.41
26,27,12.46
26,27,12.51
26,25,12.56
26,25,12.61
26,25,12.66
26,23,12.71
26,24,12.76
26,24,12.81
26,24,12.86
26,25,12.91
25,26,12.96
25,26,13.01
25,26,13.06
25,27,13.11
25,27,13.16
25,26,13.21
25,25,13.26
25,26,13.31
25,25,13.36
25,26,13.41
25,26,13.46
26,24,13.51
25,26,13.56
25,26,13.61
26,26,13.66
26,26,13.71
26,25,13.76
25,25,13.81
25,25,13.86
27,26,13.91
27,26,13.96
27,27,14.01
26,27,14.06
25,27,14.11
25,26,14.16
25,26,14.21
25,27,14.26
25,27,14.31
25,25,14.36
25,26,14.41
25,27,14.46
25,26,14.51
25,27,14.56
25,26,14.61
25,26,14.66
25,26,14.71
25,26,14.76
25,25,14.81
25,26,14.86
25,26,14.91
25,25,14.96
25,26,15.01
25,25,15.06
25,25,15.11
25,25,15.16
25,26,15.21
25,25,15.26
25,25,15.31
25,25,15.36
25,24,15.41
25,24,15.46
25,24,15.51
25,24,15.56
25,24,15.61
25,24,15.66
25,24,15.71
25,23,15.76
25,24,15.81
25,24,15.86
25,24,15.91
25,25,15.96
26,25,16.01
26,24,16.06
26,25,16.11
26,25,16.16
26,25,16.21
26,25,16.26
26,26,16.31
26,25,16.36
26,25,16.41
26,25,16.46
26,25,16.51
26,26,16.56
26,26,16.61
26,25,16.66
26,25,16.71
26,24,16.76
26,24,16.81
26,24,16.86
26,24,16.91
26,26,16.96
27,28,17.01
27,27,17.06
27,28,17.11
27,25,17.16
26,27,17.21
26,26,17.26
26,26,17.31
27,25,17.36
27,26,17.41
27,25,17.46
27,25,17.51
28,24,17.56
28,25,17.61
28,24,17.66
28,24,17.71
26,25,17.76
26,24,17.81
26,24,17.86
26,24,17.91
26,23,17.96
26,24,18.02
26,24,18.07
27,25,18.12
26,25,18.17
26,25,18.22
26,25,18.27
26,26,18.32
26,26,18.37
26,25,18.42
26,26,18.47
26,26,18.52
26,25,18.57
26,25,18.62
26,25,18.67
26,26,18.72
26,25,18.77
26,27,18.82
26,27,18.87
26,27,18.92
26,26,18.97
26,27,19.02
26,27,19.07
26,27,19.12
26,27,19.17
26,27,19.22
26,27,19.27
26,27,19.32
26,25,19.37
26,27,19.42
26,27,19.47
26,27,19.52
26,25,19.57
26,25,19.62
26,25,19.67
26,25,19.72
26,25,19.77
26,25,19.82
26,25,19.87
26,25,19.92
26,24,19.97
26,25,20.02
26,25,20.07
26,25,20.12
27,25,20.17
27,26,20.22
27,26,20.27
27,25,20.32
27,24,20.37
27,25,20.42
27,25,20.47
27,25,20.52
27,25,20.57
27,25,20.62
27,25,20.67
27,25,20.72
27,26,20.77
27,26,20.82
27,27,20.87
27,26,20.92
27,27,20.97
27,27,21.02
27,26,21.07
27,26,21.12
28,28,21.17
28,28,21.22
29,28,21.27
29,29,21.32
29,28,21.37
28,28,21.42
28,28,21.47
28,28,21.52
28,28,21.57
28,27,21.62
28,28,21.67
28,28,21.72
28,27,21.77
28,27,21.82
28,28,21.87
28,27,21.92
28,27,21.97
28,28,22.02
27,28,22.07
27,28,22.12
27,28,22.17
27,28,22.22
27,28,22.27
27,28,22.32
26,28,22.37
26,27,22.42
26,28,22.47
26,27,22.52
26,27,22.57
26,27,22.62
26,27,22.67
26,28,22.72
26,27,22.77
27,27,22.82
27,27,22.87
27,28,22.92
27,27,22.97
27,27,23.02
27,27,23.07
27,27,23.12
27,28,23.17
27,27,23.22
27,27,23.27
27,28,23.32
27,28,23.37
27,28,23.42
27,28,23.47
27,28,23.52
27,28,23.57
27,27,23.62
27,27,23.67
27,28,23.72
27,28,23.77
27,27,23.82
28,27,23.87
28,28,23.92
28,28,23.97
28,27,24.02
28,27,24.07
28,28,24.12
28,28,24.17
28,26,24.22
28,26,24.27
28,26,24.32
28,26,24.37
28,26,24.42
28,26,24.47
27,26,24.52
27,26,24.57
28,25,24.62
27,26,24.67
27,25,24.72
27,26,24.77
27,27,24.82
27,28,24.87
27,28,24.92
27,28,24.97
27,28,25.02
27,27,25.07
27,27,25.12
27,28,25.17
27,28,25.22
27,27,25.27
27,28,25.32
27,28,25.37
27,27,25.42
27,27,25.47
27,28,25.52
27,27,25.57
27,27,25.62
27,28,25.67
27,28,25.72
27,27,25.77
26,27,25.82
26,27,25.87
26,27,25.92
27,28,25.97
27,28,26.02
27,29,26.07
27,29,26.12
27,28,26.17
27,28,26.22
27,28,26.27
27,28,26.32
27,27,26.37
27,28,26.42
27,28,26.47
27,28,26.52
27,28,26.57
26,28,26.62
26,29,26.67
26,29,26.72
26,29,26.77
26,30,26.82
26,29,26.87
26,29,26.92
26,28,26.97
26,28,27.02
26,29,27.07
26,29,27.12
27,30,27.17
27,29,27.22
27,30,27.27
27,30,27.32
27,30,27.37
27,29,27.42
27,29,27.47
27,28,27.52
27,28,27.57
27,28,27.62
27,28,27.67
27,29,27.72
27,28,27.77
27,28,27.82
27,28,27.87
27,28,27.92
27,28,27.97
27,26,28.02
27,27,28.07
27,27,28.12
27,28,28.17
27,27,28.22
27,28,28.27
27,29,28.32
27,29,28.37
27,28,28.42
27,29,28.47
27,28,28.52
27,29,28.57
28,28,28.62
28,28,28.67
28,28,28.72
28,28,28.77
28,28,28.82
28,29,28.87
28,28,28.92
28,29,28.97
28,29,29.02
28,29,29.07
28,29,29.12
28,29,29.17
28,30,29.22
28,29,29.27
28,29,29.32
28,29,29.37
28,29,29.42
28,29,29.47
28,29,29.52
28,29,29.57
28,29,29.62
28,29,29.67
28,29,29.72
28,29,29.77
28,29,29.82
28,29,29.87
28,28,29.92
28,28,29.97
28,28,30.03
28,28,30.08
28,28,30.13
28,28,30.18
28,27,30.23
28,28,30.28
28,27,30.33
29,27,30.38
29,27,30.43
29,28,30.48
29,29,30.53
29,29,30.58
29,29,30.63
29,29,30.68
28,29,30.73
28,30,30.78
28,28,30.83
27,29,30.88
27,29,30.93
27,28,30.98
27,28,31.03
28,28,31.08
28,27,31.13
28,27,31.18
28,27,31.23
28,28,31.28
28,28,31.33
28,27,31.38
28,27,31.43
28,28,31.48
28,28,31.53
28,28,31.58
28,28,31.63
28,28,31.68
28,28,31.73
28,28,31.78
28,27,31.83
28,28,31.88
28,28,31.93
28,28,31.98
28,29,32.03
28,30,32.08
28,30,32.13
28,30,32.18
28,29,32.23
28,30,32.28
28,29,32.33
28,30,32.38
28,28,32.43
28,28,32.48
28,29,32.53
28,29,32.58
28,29,32.63
28,29,32.68
28,29,32.73
28,28,32.78
28,28,32.83
28,29,32.88
28,29,32.93
28,29,32.98
28,29,33.03
28,29,33.08
28,29,33.13
28,29,33.18
29,29,33.23
29,29,33.28
29,29,33.33
29,29,33.38
29,30,33.43
29,29,33.48
29,29,33.53
29,29,33.58
29,30,33.63
29,30,33.68
29,29,33.73
29,29,33.78
29,28,33.83
29,29,33.88
29,30,33.93
29,29,33.98
29,29,34.03
29,30,34.08
29,30,34.13
29,30,34.18
29,30,34.23
29,29,34.28
29,29,34.33
29,29,34.38
29,30,34.43
29,30,34.48
29,30,34.53
29,30,34.58
29,30,34.63
29,29,34.68
29,29,34.73
29,29,34.78
29,30,34.83
29,29,34.88
29,28,34.93
29,28,34.98
29,28,35.03
29,29,35.08
29,28,35.13
29,28,35.18
29,29,35.23
29,29,35.28
29,29,35.33
29,29,35.38
29,28,35.43
29,28,35.48
29,28,35.53
29,28,35.58
29,28,35.63
29,29,35.68
29,28,35.73
29,29,35.78
29,29,35.83
29,30,35.88
29,30,35.93
29,30,35.98
29,29,36.03
29,29,36.08
29,29,36.13
29,28,36.18
28,28,36.23
28,28,36.28
28,28,36.33
28,29,36.38
27,28,36.43
27,28,36.48
27,28,36.53
27,29,36.58
27,29,36.63
27,29,36.68
27,28,36.73
27,29,36.78
27,28,36.83
27,29,36.88
27,29,36.93
27,28,36.98
27,27,37.03
27,28,37.08
27,28,37.13
27,29,37.18
27,30,37.23
27,30,37.28
27,28,37.33
27,29,37.38
27,28,37.43
27,28,37.48
27,27,37.53
27,28,37.58
27,29,37.63
27,30,37.68
27,29,37.73
27,30,37.78
27,30,37.83
27,30,37.88
27,29,37.93
27,29,37.98
27,29,38.03
27,29,38.08
27,29,38.13
27,30,38.18
27,30,38.23
27,30,38.28
27,28,38.33
27,28,38.38
27,28,38.43
27,28,38.48
27,28,38.53
27,28,38.58
27,28,38.63
27,28,38.68
27,28,38.73
27,27,38.78
27,27,38.83
27,27,38.88
27,27,38.93
27,27,38.98
27,27,39.03
27,28,39.08
27,28,39.13
27,28,39.18
27,27,39.23
27,27,39.28
27,27,39.33
27,27,39.38
27,27,39.43
27,27,39.48
27,27,39.53
27,27,39.58
28,28,39.63
28,28,39.68
28,28,39.73
28,29,39.78
28,29,39.83
28,29,39.88
28,28,39.93
28,28,39.98
28,28,40.03
28,28,40.08
28,27,40.13
28,27,40.18
28,28,40.23
28,28,40.28
28,29,40.33
28,30,40.38
28,30,40.43
28,30,40.48
28,30,40.53
28,30,40.58
