GT,Estimado,Intervalo
25,25,0.05
25,25,0.1
25,26,0.15
25,26,0.2
25,26,0.25
25,26,0.3
25,26,0.35
25,26,0.4
25,27,0.45
25,26,0.5
25,26,0.55
26,28,0.6
26,29,0.65
26,29,0.7
26,29,0.75
26,26,0.8
25,27,0.85
25,27,0.9
25,28,0.95
25,27,1.0
25,28,1.05
25,28,1.1
25,28,1.15
25,26,1.2
25,27,1.25
25,26,1.3
25,26,1.35
25,26,1.4
26,26,1.45
26,27,1.5
26,26,1.55
25,25,1.6
25,26,1.65
25,26,1.7
25,26,1.75
25,26,1.8
25,26,1.85
25,26,1.9
25,26,1.95
25,27,2.0
25,27,2.05
25,27,2.1
25,26,2.15
26,26,2.2
26,27,2.25
26,26,2.3
26,27,2.35
26,28,2.4
26,28,2.45
26,27,2.5
26,27,2.55
26,26,2.6
26,26,2.65
26,27,2.7
26,27,2.75
26,27,2.8
26,27,2.85
26,26,2.9
26,26,2.95
27,27,3.0
26,28,3.05
26,26,3.1
26,27,3.15
26,28,3.2
27,29,3.25
27,29,3.3
26,28,3.35
26,27,3.4
26,28,3.45
26,27,3.5
26,27,3.55
26,27,3.6
26,26,3.65
26,25,3.7
26,26,3.75
26,28,3.8
26,28,3.85
26,28,3.9
26,28,3.95
26,28,4.0
27,28,4.05
27,28,4.1
27,27,4.15
27,26,4.2
27,27,4.25
26,27,4.3
26,29,4.35
26,29,4.4
26,30,4.45
26,29,4.5
27,28,4.55
27,28,4.6
28,28,4.65
28,28,4.7
26,29,4.75
26,29,4.8
26,29,4.85
26,28,4.9
27,28,4.95
27,28,5.0
27,28,5.05
27,28,5.1
27,28,5.15
27,28,5.2
27,29,5.25
27,28,5.3
27,28,5.35
27,29,5.4
27,29,5.45
26,28,5.5
26,29,5.55
26,28,5.6
27,29,5.65
26,27,5.7
26,28,5.75
26,29,5.8
26,30,5.85
26,29,5.9
26,29,5.95
26,28,6.01
26,28,6.06
27,29,6.11
27,28,6.16
27,29,6.21
27,29,6.26
27,29,6.31
27,29,6.36
28,30,6.41
26,30,6.46
27,30,6.51
28,29,6.56
27,29,6.61
27,29,6.66
27,28,6.71
27,30,6.76
27,29,6.81
27,29,6.86
27,30,6.91
27,30,6.96
27,30,7.01
27,31,7.06
27,31,7.11
27,31,7.16
26,31,7.21
26,31,7.26
26,28,7.31
26,28,7.36
26,28,7.41
26,29,7.46
26,29,7.51
27,30,7.56
27,30,7.61
27,30,7.66
27,29,7.71
27,30,7.76
27,30,7.81
27,29,7.86
27,29,7.91
27,28,7.96
27,29,8.01
27,29,8.06
27,29,8.11
26,29,8.16
27,30,8.21
27,29,8.26
27,29,8.31
27,28,8.36
27,29,8.41
26,29,8.46
26,30,8.51
27,31,8.56
27,30,8.61
27,30,8.66
27,29,8.71
27,30,8.76
28,30,8.81
28,29,8.86
28,29,8.91
28,29,8.96
27,29,9.01
27,28,9.06
26,29,9.11
26,30,9.16
26,29,9.21
26,29,9.26
26,28,9.31
26,29,9.36
26,29,9.41
26,29,9.46
27,29,9.51
27,30,9.56
27,30,9.61
27,30,9.66
27,29,9.71
27,30,9.76
27,29,9.81
27,29,9.86
28,28,9.91
28,29,9.96
28,29,10.01
27,30,10.06
27,28,10.11
28,29,10.16
28,30,10.21
27,29,10.26
27,30,10.31
27,29,10.36
27,28,10.41
27,28,10.46
27,28,10.51
27,28,10.56
27,29,10.61
27,29,10.66
27,29,10.71
26,30,10.76
26,30,10.81
26,29,10.86
26,29,10.91
26,28,10.96
26,29,11.01
26,29,11.06
26,29,11.11
27,29,11.16
27,29,11.21
27,28,11.26
27,27,11.31
27,28,11.36
27,29,11.41
27,29,11.46
27,28,11.51
27,27,11.56
27,28,11.61
27,28,11.66
27,28,11.71
27,28,11.76
28,28,11.81
28,28,11.86
28,28,11.91
28,29,11.96
28,30,12.01
27,29,12.06
27,27,12.11
27,29,12.16
27,28,12.21
27,28,12.26
27,27,12.31
26,28,12.36
26,27,12.41
26,28,12.46
26,28,12.51
26,28,12.56
26,28,12.61
26,27,12.66
26,28,12.71
26,28,12.76
26,28,12.81
26,27,12.86
26,28,12.91
26,28,12.96
26,28,13.01
26,29,13.06
26,28,13.11
26,28,13.16
26,28,13.21
26,29,13.26
26,29,13.31
26,28,13.36
26,26,13.41
26,27,13.46
26,27,13.51
26,27,13.56
26,27,13.61
26,27,13.66
26,27,13.71
26,27,13.76
26,27,13.81
26,27,13.86
26,27,13.91
26,28,13.96
26,28,14.01
26,29,14.06
26,28,14.11
26,28,14.16
26,28,14.21
26,27,14.26
27,27,14.31
27,28,14.36
27,28,14.41
27,28,14.46
26,27,14.51
26,28,14.56
26,27,14.61
26,27,14.66
26,27,14.71
26,27,14.76
26,27,14.81
26,28,14.86
26,27,14.91
26,27,14.96
26,27,15.01
26,27,15.06
26,28,15.11
26,28,15.16
26,28,15.21
27,28,15.26
26,27,15.31
26,28,15.36
26,28,15.41
26,28,15.46
26,27,15.51
26,28,15.56
26,28,15.61
26,28,15.66
26,28,15.71
26,28,15.76
26,28,15.81
26,27,15.86
26,28,15.91
26,28,15.96
26,27,16.01
27,27,16.06
26,27,16.11
26,27,16.16
26,27,16.21
26,26,16.26
26,27,16.31
26,28,16.36
26,28,16.41
26,27,16.46
26,26,16.51
26,28,16.56
26,28,16.61
26,28,16.66
26,28,16.71
26,28,16.76
26,27,16.81
26,27,16.86
26,28,16.91
26,28,16.96
26,28,17.01
26,29,17.06
26,29,17.11
26,29,17.16
27,29,17.21
